IndivID,Name,Source,gwasID,Block,position_X,position_Y,edge,InitLeafLen,Bolting,Score
280,RRS-7,CS22564,7514,2,16,10,1,30,0,3
281,Ler-1,CS22618,6932,2,17,1,1,17,1,1
282,Fab-2,CS22576,6917,2,17,3,0,25,0,1
283,Pla-0,CS1459,7300,2,17,5,0,35,1,1
284,Wu-0,CS6897,7415,2,17,7,0,16,1,2
285,Van-0,CS22627,6977,2,17,9,0,25,0,2
286,Ts-5,CS22648,6971,2,18,2,0,41,0,2
287,Fr-2,CS1169,7133,2,18,4,0,25,0,1
288,Fab-4,CS22577,6918,2,18,6,0,17,0,1
289,Lund,CS77060,8335,2,18,8,0,15,0,1
290,Sorbo,CS22653,6963,2,18,10,1,34,0,2
291,Tamm-27,CS22605,6969,2,19,1,1,33,0,4
292,Pna-10,CS22571,7526,2,19,3,0,30,0,2
293,Cvi-0,CS22614,6911,2,19,5,0,34,1,2
294,Kelsterbach-4,CS6041,8420,2,19,7,0,32,1,1
295,Bu-0,CS1007,8271,2,19,9,0,21,0,1
296,Lis-2,CS77043,8222,2,20,2,0,40,0,1
297,Pu2-8,CS22449,6953,2,20,4,0,21,0,1
298,Kno-18,CS22567,6928,2,20,6,0,29,0,1
299,Nok-3,CS22643,6945,2,20,8,0,33,0,2
300,Pna-17,CS22570,7523,2,20,10,1,23,0,2
301,Uod-1,CS22612,6975,2,21,1,1,29,0,2
302,Pi-0,CS1455,7298,2,21,3,0,30,0,2
303,Li-2:1,CS6772,7223,2,21,5,0,25,0,1
304,Lp2-6,CS22595,7521,2,21,7,0,24,0,2
305,Oy-0,CS22658,6946,2,21,9,0,35,0,3
306,Col-0,CS22625,6909,2,22,2,0,23,1,2
307,Kz-13,CS22445,6830,2,22,4,0,29,1,1
308,Buckhorn_Pass,CS8067,7033,2,22,6,0,23,0,1
309,DraII-1,CS76813,8284,2,22,8,0,34,0,2
310,Shahdara,CS22652,6962,2,22,10,1,14,1,2
311,Col-0,CS22625,6909,2,23,1,1,25,0,2
312,Hov4-1,CS76936,8306,2,23,3,0,14,0,1
313,Alc-0,CS1656,6988,2,23,5,0,36,0,1
314,Wei-0,CS22622,6979,2,23,7,0,27,1,2
315,Ull2-5,CS22586,6974,2,23,9,0,24,0,3
316,Tsu-1,CS22641,6972,2,24,2,0,26,1,1
317,Gy-0,CS22631,8214,2,24,4,0,30,0,1
318,Tamm-2,CS22604,6968,2,24,6,0,25,0,3
319,Yo-0,CS22624,6983,2,24,8,0,26,0,1
320,Bg-2,CS22342,6709,2,24,10,1,24,0,2
321,Pa-1,CS1439,8353,2,25,1,1,31,1,3
322,Hs-0,CS1237,8310,2,25,3,0,19,1,2
323,Tu-0,CS1567,8395,2,25,5,0,32,1,1
324,Sr:5,CS77268,8386,2,25,7,0,30,0,3
325,Seattle-0,CS6187,8245,2,25,9,0,27,0,3
326,Lm-2,CS1345,8329,2,26,2,0,34,1,3
327,Lisse,CS6033,8430,2,26,4,0,38,0,1
328,Var2-1,CS22580,7516,2,26,6,0,25,0,3
329,Pu2-23,CS22593,6951,2,26,8,0,26,0,1
330,DraIII-1,CS76815,8285,2,26,10,1,33,0,4
331,An-1,CS22626,6898,2,27,1,1,31,1,1
332,Jm-0,CS1259,8313,2,27,3,0,29,1,3
333,Lc-0,CS1307,8323,2,27,5,0,21,0,2
334,Tottarp-2,CS77381,6243,2,27,7,0,24,1,1
335,Bay-0,CS22633,6899,2,27,9,0,30,1,0
336,Sap-0,CS1507,8378,2,28,2,0,40,1,3
337,Ba4-1,CS76677,8258,2,28,4,0,27,0,1
338,Ren-11,CS22611,6960,2,28,6,0,33,1,1
339,Wil-2,CS6889,7413,2,28,8,0,31,1,1
340,Ba5-1,CS76678,8259,2,28,10,1,21,0,2
341,Mt-0,CS22642,6939,2,29,1,1,40,1,2
342,Algutsrum,CS76657,8230,2,29,3,0,32,0,3
343,Kas-2,CS6751,8424,2,29,5,0,17,0,3
344,C24,CS22620,6906,2,29,7,0,21,1,2
345,Ler(gl1-1),CS64,1,2,29,9,0,22,1,2
346,Spr1-6,CS22583,6965,2,30,2,0,27,0,3
347,Zdr-6,CS22589,6985,2,30,4,0,24,1,2
348,Nw-0,CS1409,7258,2,30,6,0,40,1,2
349,Ull1-1,CS78816,8426,2,30,8,0,22,1,2
350,Pu2-7,CS22592,6956,2,30,10,1,21,0,4
351,Nd-1,CS22619,6942,2,31,1,1,47,1,2
352,Ta-0,CS1549,8389,2,31,3,0,25,1,1
353,Mrk-0,CS22635,6937,2,31,5,0,30,0,2
354,Kz-1,CS22606,6930,2,31,7,0,22,1,3
355,Ren-1,CS22610,6959,2,31,9,0,30,1,1
356,Rd-0,CS1483,8366,2,32,2,0,33,1,3
357,No-0,CS6805,7275,2,32,4,0,31,1,3
358,Kyoto,CS76535,7207,2,32,6,0,28,0,3
359,Ak-1,CS939,6987,2,32,8,0,27,1,1
360,Zdr-1,CS22588,6984,2,32,10,1,23,1,0
361,Ka-0,CS1267,8314,2,33,1,1,20,1,1
362,Tsu-0,CS6874,7373,2,33,3,0,29,1,1
363,San-2,CS77233,8247,2,33,5,0,21,0,3
364,Ei-2,CS22616,6915,2,33,7,0,19,0,0
365,Got-22,CS22609,6920,2,33,9,0,42,0,1
366,Mr-0,CS22640,7522,2,34,2,0,20,0,2
